2016-10-20 18:27:36 status half-installed dpkg:armhf 1.17.27
2016-10-20 18:27:36 status unpacked dpkg:armhf 1.17.27
2016-10-20 18:27:36 status unpacked dpkg:armhf 1.17.27
2016-10-20 18:27:36 install e2fslibs:armhf <none> 1.42.12-2
2016-10-20 18:27:36 status half-installed e2fslibs:armhf 1.42.12-2
2016-10-20 18:27:36 status unpacked e2fslibs:armhf 1.42.12-2
2016-10-20 18:27:36 status unpacked e2fslibs:armhf 1.42.12-2
2016-10-20 18:27:36 install e2fsprogs:armhf <none> 1.42.12-2
2016-10-20 18:27:36 status half-installed e2fsprogs:armhf 1.42.12-2
2016-10-20 18:27:36 status unpacked e2fsprogs:armhf 1.42.12-2
2016-10-20 18:27:36 status unpacked e2fsprogs:armhf 1.42.12-2
2016-10-20 18:27:37 install libcomerr2:armhf <none> 1.42.12-2
2016-10-20 18:27:37 status half-installed libcomerr2:armhf 1.42.12-2
2016-10-20 18:27:37 status unpacked libcomerr2:armhf 1.42.12-2
2016-10-20 18:27:37 status unpacked libcomerr2:armhf 1.42.12-2
2016-10-20 18:27:37 install libss2:armhf <none> 1.42.12-2
2016-10-20 18:27:37 status half-installed libss2:armhf 1.42.12-2
2016-10-20 18:27:37 status unpacked libss2:armhf 1.42.12-2
2016-10-20 18:27:37 status unpacked libss2:armhf 1.42.12-2
2016-10-20 18:27:37 install findutils:armhf <none> 4.4.2-9+b1
2016-10-20 18:27:37 status half-installed findutils:armhf 4.4.2-9+b1
2016-10-20 18:27:37 status unpacked findutils:armhf 4.4.2-9+b1
2016-10-20 18:27:37 status unpacked findutils:armhf 4.4.2-9+b1
2016-10-20 18:27:37 install gcc-4.8-base:armhf <none> 4.8.4-1
2016-10-20 18:27:37 status half-installed gcc-4.8-base:armhf 4.8.4-1
2016-10-20 18:27:38 status unpacked gcc-4.8-base:armhf 4.8.4-1
2016-10-20 18:27:38 status unpacked gcc-4.8-base:armhf 4.8.4-1
2016-10-20 18:27:38 install gcc-4.9-base:armhf <none> 4.9.2-10
2016-10-20 18:27:38 status half-installed gcc-4.9-base:armhf 4.9.2-10
2016-10-20 18:27:38 status unpacked gcc-4.9-base:armhf 4.9.2-10
2016-10-20 18:27:38 status unpacked gcc-4.9-base:armhf 4.9.2-10
2016-10-20 18:27:38 install libgcc1:armhf <none> 1:4.9.2-10
2016-10-20 18:27:38 status half-installed libgcc1:armhf 1:4.9.2-10
2016-10-20 18:27:38 status unpacked libgcc1:armhf 1:4.9.2-10
2016-10-20 18:27:38 status unpacked libgcc1:armhf 1:4.9.2-10
